merchant_name,category,number_of_transactions,total_spend,average_spend,median_spend,lunch_or_dinner
Raffles Hotel Singapore,Restaurant,151,56112.70,371.61,146.58,Lunch
Artemis Grill,Restaurant,44,38013.04,863.93,600.00,Lunch
Grand Shanghai Restaurant,Restaurant,40,24251.12,606.28,235.45,Lunch
Shinya Izakaya,Restaurant,188,23661.46,125.86,70.40,Lunch
The Public Izakaya 2,Bar,132,21578.20,163.47,112.71,Lunch
Decker Barbecue,Restaurant,104,19157.40,184.21,169.06,Lunch
Fortune Court,Restaurant,119,18799.03,157.98,120.86,Lunch
Jypsy One Fullerton,Restaurant,109,18690.07,171.47,86.27,Lunch
Peperoni Pizzeria,Restaurant,166,18367.78,110.65,94.80,Lunch
Cherry Garden,Restaurant,136,18217.82,133.95,66.00,Lunch
Mingle Bistro (Funan Mall),Restaurant,78,17769.82,227.82,58.15,Lunch
Revolver,Restaurant,70,17637.83,251.97,81.44,Lunch
Paulaner Bräuhaus Singapore,Restaurant,76,16455.12,216.51,106.71,Lunch
Akira Back (JW Marriott),Restaurant,52,16331.14,314.06,220.14,Lunch
Wooloomooloo Steakhouse,Restaurant,60,16282.31,271.37,201.43,Lunch
The Masons Table,Restaurant,59,15875.77,269.08,11.00,Lunch
Group Therapy Cse,Restaurant,130,15855.95,121.97,130.80,Lunch
Coriander Leaf @ CHIJMES,Restaurant,62,15522.93,250.37,34.60,Lunch
Peach Garden,Restaurant,81,15477.63,191.08,103.50,Lunch
Fu Lin Clarke Quay,Restaurant,45,15104.67,335.66,70.00,Lunch
Capitol Kempinski,Restaurant,63,14766.08,234.38,81.53,Lunch
Yin,Restaurant,104,14205.68,136.59,22.10,Lunch
Tempt,Restaurant,8,13365.28,1670.66,1443.59,Lunch
VUE,Restaurant,60,13180.85,219.68,166.60,Lunch
OBBA BBQ & Jjajang (Amoy),Restaurant,81,12508.38,154.42,135.36,Lunch
The Malayan Council (Fullerton),Restaurant,35,12472.62,356.36,143.88,Lunch
CLOVE,Restaurant,71,11522.17,162.28,105.11,Lunch
Thanying Restaurant,Restaurant,24,11479.60,478.32,381.75,Lunch
Teppan Works,Restaurant,39,11273.75,289.07,218.00,Lunch
Sawadee Thai Cuisine,Restaurant,161,10841.13,67.34,37.95,Lunch
Ameising Live House,Restaurant,66,10824.96,164.01,110.00,Lunch
Ryan's Kitchen,Restaurant,153,10475.40,68.47,43.12,Lunch
Gabbar Bistro & Bar,Bar,71,10350.01,145.77,79.13,Lunch
Shin Minori,Restaurant,65,10142.80,156.04,140.28,Lunch
Bar-Roque Grill,Bar,62,9643.17,155.53,121.70,Lunch
Kiwami (Suntec City),Restaurant,172,9484.82,55.14,38.13,Lunch
Tung Lok Seafood-Pr,Restaurant,44,9205.27,209.21,135.00,Lunch
Oche Clarke Quay,Restaurant,54,9204.45,170.45,106.59,Lunch
HighHouse,Restaurant,36,8946.54,248.51,209.83,Lunch
embu,Restaurant,18,8934.63,496.37,257.25,Lunch
Bulgogi Syo (Vivocity),Restaurant,157,8926.44,56.86,45.32,Lunch
Cenzo,Restaurant,38,8845.97,232.79,165.93,Lunch
Seafood Paradise,Restaurant,44,8811.27,200.26,90.26,Lunch
Red House Seafood,Restaurant,38,8704.55,229.07,180.94,Lunch
abV@Southbridge,Restaurant,106,8635.32,81.47,63.00,Lunch
Bornga (VivoCity),Restaurant,97,8574.46,88.40,72.03,Lunch
Si Wei Xiao Hot Pot,Restaurant,89,8530.11,95.84,71.92,Lunch
Super Loco Customs House,Restaurant,52,8506.76,163.59,107.91,Lunch
Xiao Long Kan Hotpot (Bugis),Restaurant,89,8426.68,94.68,89.93,Lunch
Lavo,Restaurant,52,8411.95,161.77,153.47,Lunch
